"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0013108334182838,4,7,18.4126984126984,"GO:0015768 maltose transport","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0015768","malE malG malF malK"
0.0013108334182838,4,7,18.4126984126984,"GO:0070689 L-threonine catabolic process to propionate","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0070689","tdcA tdcD tdcB tdcE"
0.0013108334182838,4,6,21.4814814814815,"GO:0070814 hydrogen sulfide biosynthetic process","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0070814","cysD cysJ cysI cysN"
0.0013108334182838,4,7,18.4126984126984,"GO:0000103 sulfate assimilation","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0000103","cysN cysJ cysD cysI"
0.00359553175711172,4,9,14.320987654321,"GO:0006567 threonine catabolic process","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0006567","tdcE ltaE tdcD tdcB"
0.00487367236255343,4,10,12.8888888888889,"GO:0019646 aerobic electron transport chain","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0019646","cydA cydB appC cydX"
0.00864485865100518,9,72,4.02777777777778,"GO:0009061 anaerobic respiration","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0009061","dcuB hybA hybO hybC lldD dcuA acnA hybB nrfA"
0.0123685087049903,3,6,16.1111111111111,"GO:0071422 succinate transmembrane transport","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0071422","dcuB dcuA dctA"
0.0126764179704052,18,250,2.32,"GO:0006974 cellular response to DNA damage stimulus","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0006974","yjiM deoD deoB cpdB malF ydeM ldtD uvrA lldR ompA yjeI malE deoC fumB gabP gpr dctA asnA"
0.0141022184679177,3,7,13.8095238095238,"GO:1902358 sulfate transmembrane transport","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:1902358","cysW cysP cysA"
0.0141022184679177,3,7,13.8095238095238,"GO:0006004 fucose metabolic process","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0006004","fucO fucP fucR"
0.0141022184679177,3,7,13.8095238095238,"GO:0008272 sulfate transport","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0008272","cysW cysP cysA"
0.0336261456474475,6,45,4.2962962962963,"GO:0019645 anaerobic electron transport chain","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0019645","nrfA nrfD hybA hybB hybC hybO"
0.0456089581308133,4,21,6.13756613756614,"GO:0051289 protein homotetramerization","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0051289","speA folM ansB tdcB"
0.0722626689026149,8,89,2.89637952559301,"GO:0006865 amino acid transport","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0006865","cyuP gabP tnaB lysP tdcC proX artP artQ"
0.0887760803156435,21,390,1.73504273504274,"GO:0055085 transmembrane transport","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0055085","oppA oppB lysP gabP yidE mdtJ malF malE lptB proX sapB artQ potG cyuP cysW fucP malG dctA malK nhaA xylF"
0.0887760803156435,3,14,6.9047619047619,"GO:0006790 sulfur compound metabolic process","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0006790","cysP cysD cysN"
0.132911359836243,2,6,10.7407407407407,"GO:0042355 L-fucose catabolic process","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0042355","fucO lldD"
0.172621373242439,2,7,9.20634920634921,"GO:0016485 protein processing","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0016485","hyaD hybD"
0.172621373242439,4,34,3.79084967320261,"GO:0003333 amino acid transmembrane transport","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0003333","tdcC lysP artP tnaB"
0.172621373242439,8,109,2.36493374108053,"GO:0008643 carbohydrate transport","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0008643","malF fucP yadI malE malK xylF malG ugpC"
0.186406960400396,2,8,8.05555555555556,"GO:0016036 cellular response to phosphate starvation","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0016036","appA iraP"
0.186406960400396,2,8,8.05555555555556,"GO:0019344 cysteine biosynthetic process","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0019344","cysJ cysI"
0.189116327395614,5,54,2.98353909465021,"GO:0006979 response to oxidative stress","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0006979","cysD sodA adhE uspF acnA"
