"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00101187142176099,7,31,7.27598566308244,"Path:eco00920 Sulfur metabolism","HTTP://WWW.GENOME.JP/KEGG-BIN/SHOW_PATHWAY?ECO00920","cysA cysW cysP cysN cysD cysI cysJ"
0.00101187142176099,17,179,3.06021104903786,"Path:eco02010 ABC transporters","HTTP://WWW.GENOME.JP/KEGG-BIN/SHOW_PATHWAY?ECO02010","potG artQ artP oppA oppB sapB cysA cysW cysP proX lptB ugpC xylF malG malF malE malK"
0.0549844554752837,5,32,5.03472222222222,"Path:eco00640 Propanoate metabolism","HTTP://WWW.GENOME.JP/KEGG-BIN/SHOW_PATHWAY?ECO00640","prpE fucO tdcE tdcD fadB"
0.0988952974151881,4,32,4.02777777777778,"Path:eco00030 Pentose phosphate pathway","HTTP://WWW.GENOME.JP/KEGG-BIN/SHOW_PATHWAY?ECO00030","gcd pgl deoC deoB"
0.0988952974151881,3,15,6.44444444444444,"Path:eco00071 Fatty acid degradation","HTTP://WWW.GENOME.JP/KEGG-BIN/SHOW_PATHWAY?ECO00071","adhE fadA fadB"
0.0988952974151881,2,6,10.7407407407407,"Path:eco00281 Geraniol degradation","HTTP://WWW.GENOME.JP/KEGG-BIN/SHOW_PATHWAY?ECO00281","fadA fadB"
0.0988952974151881,3,14,6.9047619047619,"Path:eco00410 beta-Alanine metabolism","HTTP://WWW.GENOME.JP/KEGG-BIN/SHOW_PATHWAY?ECO00410","preT preA fadB"
0.0988952974151881,2,7,9.20634920634921,"Path:eco00460 Cyanoamino acid metabolism","HTTP://WWW.GENOME.JP/KEGG-BIN/SHOW_PATHWAY?ECO00460","ansB asnA"
0.0988952974151881,2,7,9.20634920634921,"Path:eco00633 Nitrotoluene degradation","HTTP://WWW.GENOME.JP/KEGG-BIN/SHOW_PATHWAY?ECO00633","hybC hybO"
0.0988952974151881,40,918,1.40401839748245,"Path:eco01100 Metabolic pathways","HTTP://WWW.GENOME.JP/KEGG-BIN/SHOW_PATHWAY?ECO01100","gcd prpE nagB pxpB pxpC pgl ltaE hcp appA dadA adhE acnA folM preT preA menF luxS cysN cysD cysI cysJ pyrG fucO speA ansB tdcE tdcD tdcB lldD asnA fadA fadB aphA nrfA fumB cpdB yjjG deoC deoB deoD"
0.0988952974151881,16,268,1.92371475953565,"Path:eco01120 Microbial metabolism in diverse environments","HTTP://WWW.GENOME.JP/KEGG-BIN/SHOW_PATHWAY?ECO01120","pgl ltaE adhE acnA cysN cysD cysI cysJ fucO hybC hybO tdcE fadA fadB nrfA fumB"
0.118435361580362,2,8,8.05555555555556,"Path:eco00261 Monobactam biosynthesis","HTTP://WWW.GENOME.JP/KEGG-BIN/SHOW_PATHWAY?ECO00261","cysN cysD"
0.142392277941571,5,57,2.82651072124756,"Path:eco00240 Pyrimidine metabolism","HTTP://WWW.GENOME.JP/KEGG-BIN/SHOW_PATHWAY?ECO00240","preT preA pyrG cpdB yjjG"
0.164191440926286,4,43,2.99741602067183,"Path:eco00190 Oxidative phosphorylation","HTTP://WWW.GENOME.JP/KEGG-BIN/SHOW_PATHWAY?ECO00190","cydA cydB appC cydX"
0.164191440926286,2,11,5.85858585858586,"Path:eco00280 Valine leucine and isoleucine degradation","HTTP://WWW.GENOME.JP/KEGG-BIN/SHOW_PATHWAY?ECO00280","fadA fadB"
0.164191440926286,10,171,1.88434048083171,"Path:eco02020 Two-component system","HTTP://WWW.GENOME.JP/KEGG-BIN/SHOW_PATHWAY?ECO02020","cydA cydB appC fliC hybC hybO dctA zraP dcuB cydX"
0.181739672767863,2,12,5.37037037037037,"Path:eco00362 Benzoate degradation","HTTP://WWW.GENOME.JP/KEGG-BIN/SHOW_PATHWAY?ECO00362","fadA fadB"
