"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00167834352461368,42,709,1.90879172543488,"GO:0046872 metal ion binding","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0046872","fucO fumB nrfA sodA hcp ugpQ hybC rlmN ydhY uvrA ybeY luxS cpdB cysI ydeN hybA menF hybD selO hyaD cas3 adhE nnr speA ydeM sodB cydB aphA yjjG preA ycfH deoB ydhV hybB tdcD appC cydA acnA pyrG clpX sodC hybO"
0.0019843555613799,4,7,18.4126984126984,"GO:0033748 hydrogenase (acceptor) activity","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0033748","hybB hybO hybA hybC"
0.0200359253663699,30,526,1.83776932826362,"GO:0000166 nucleotide binding","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0000166","asnA tmcA ybeZ lptB tdcD tdcB cpdB prpE pxpC cysN der cas3 artP uvrA malK clpX nnr pyrG cysA ygeV potG rapA dbpA pxpB selO ugpC cysD yjjG yniA fucO"
0.0200359253663699,23,357,2.07594148770619,"GO:0016491 oxidoreductase activity","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0016491","ygcN hybA preA adhE nrfA hybO sodA dadA ydhV preT fucO sodC fadB cysJ ydeM hcp hybC gpr folM lldD gcd sodB cysI"
0.0287052618788509,26,446,1.87842551071251,"GO:0005524 ATP binding","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0005524","dbpA ugpC tdcD tmcA pxpB malK cas3 nnr pxpC ybeZ asnA cysD uspF selO lptB pyrG uvrA prpE yniA ygeV potG cysN artP cysA clpX rapA"
0.033382359734464,3,8,12.0833333333333,"GO:0016682 oxidoreductase activity-acting on diphenols and related substances as donors-oxygen as acceptor","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0016682","cydB cydA appC"
0.0361163732561632,12,147,2.63038548752834,"GO:0051536 iron-sulfur cluster binding","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0051536","hybO ydhY cysI ydhV hybA preA acnA rlmN hcp ydeM preT fumB"
0.0612438650455796,10,119,2.7077497665733,"GO:0051539 4 iron-4 sulfur cluster binding","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0051539","hybO acnA rlmN ydhY fumB ydhV cysI hybA ydeM preA"
0.0758443455824753,49,1129,1.39848440114162,"GO:0005515 protein binding","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0005515","luxS malF cysN hybC malK flgN malE uvrA clpX malG hcp cydA tdcD dctA rapA dcuB ompX trkA cydB gcd hybE rlmN mtfA cysJ pqiB speA ompA hybD ybeY adhE lysP ybeZ iraP cysA fliC ycfH cbpA fadA cysD preA preT proX ldtD hyaD tdcE hybO nnr der lptB"
0.0968048391985643,10,131,2.45971162001696,"GO:0016887 ATP hydrolysis activity","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0016887","lptB artP ugpC rapA uvrA potG clpX dbpA malK cysA"
0.127062808284349,4,28,4.6031746031746,"GO:0000987 cis-regulatory region sequence-specific DNA binding","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0000987","lldR lrhA lsrR tdcA"
0.132097973821628,21,409,1.65444172779136,"GO:0003824 catalytic activity","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0003824","adhE ydeN deoC cpdB cysD ltaE speA rlmN appA nnr lldD tdcE hcp fumB ydeM fadB nagB deoB deoD tdcB preA"
0.132097973821628,2,6,10.7407407407407,"GO:0004022 alcohol dehydrogenase (NAD+) activity","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0004022","adhE fucO"
0.132097973821628,3,17,5.68627450980392,"GO:0008134 transcription factor binding","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0008134","lysP ygeV mtfA"
0.132097973821628,2,6,10.7407407407407,"GO:0016209 antioxidant activity","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0016209","sodC sodA"
0.145289628382845,3,18,5.37037037037037,"GO:0016151 nickel cation binding","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0016151","hybC ybeY zraP"
0.146112954122244,2,7,9.20634920634921,"GO:0004190 aspartic-type endopeptidase activity","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0004190","hybD hyaD"
0.170796258279049,2,8,8.05555555555556,"GO:0003724 RNA helicase activity","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0003724","cas3 dbpA"
0.170796258279049,2,8,8.05555555555556,"GO:0016614 oxidoreductase activity-acting on CH-OH group of donors","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0016614","lldD gcd"
